rank,gene,DEI_tpc,tpc_t_excess_edits,cum_frac_burden,frac_genes
241,MCM3AP,8.469073577180846e-05,25.95999716392513,0.16366230577225457,0.012815059023715835
242,AKAP13,5.368911377181074e-05,25.95852544132918,0.16413569307135614,0.012868233542486441
243,RP1,9.104268174174213e-05,25.773272774269785,0.16460570204837588,0.012921408061257045
244,LRRC8E,0.00023037597991011025,25.710420109928123,0.16507456482573643,0.012974582580027651
245,ZNF253,0.0006563835297164314,25.346249999999998,0.16553678648994355,0.013027757098798255
246,FLT4,0.00010470592670667384,25.30543307239564,0.16599826380466284,0.013080931617568861
247,FYCO1,0.00010489761652193776,25.29175942198789,0.16645949176267466,0.013134106136339465
248,OR8B12,0.0008159002643516857,25.0,0.16691539911011966,0.013187280655110071
249,OR4K2,0.0009943916312000318,25.0,0.16737130645756465,0.013240455173880677
250,CHCHD6,0.0008336668000533547,25.0,0.16782721380500965,0.013293629692651281
251,SLC6A2,0.00036867174942118537,25.0,0.16828312115245464,0.013346804211421887
252,LRRC46,0.0004556971254625326,25.0,0.1687390284998996,0.013399978730192491
253,CSPG4,5.393056763001042e-05,25.0,0.1691949358473446,0.013453153248963097
254,KRT222,0.0008764241893076249,25.0,0.1696508431947896,0.013506327767733702
255,TMEM132C,0.00017042278484464258,25.0,0.1701067505422346,0.013559502286504307
256,NCOA7,0.00019061415881971712,25.0,0.1705626578896796,0.013612676805274912
257,EPHA1,0.0001378332896959569,24.840866802164143,0.17101566323735995,0.013665851324045518
258,DIDO1,7.843878597998648e-05,24.75559461042765,0.1714671135362905,0.013719025842816122
259,ASH1L,5.6778330995160985e-05,24.643839671815694,0.17191652583931596,0.013772200361586728
260,KIAA1210,7.719425098953882e-05,24.62380815189804,0.17236557284165702,0.013825374880357334
261,DISP1,0.00011551076101109375,24.546498757901468,0.1728132100071681,0.013878549399127938
262,ZNF75A,0.0003778772990266475,24.495518032103398,0.17325991747318037,0.013931723917898544
263,ANKRD12,0.0001977514421988629,24.443264764432648,0.17370567203324633,0.013984898436669148
264,CUL7,9.8961208641029e-05,24.373749843450877,0.17415015889878294,0.014038072955439754
265,SCAF8,0.00014087610967470813,24.27492596248766,0.1745928435829822,0.014091247474210358
266,KIF21B,7.950782758236151e-05,24.19987698907095,0.17503415965204547,0.014144421992980964
267,MYO1A,0.00017563358402551975,24.144173162404176,0.17547445988975444,0.014197596511751568
268,PDHB,0.0005042122733670875,24.0,0.17591213094330163,0.014250771030522174
269,ADD1,0.00023055640946818322,24.0,0.17634980199684883,0.014303945549292778
270,ZNF630,0.0003145478374836173,24.0,0.17678747305039602,0.014357120068063384
271,RFX6,0.00022178686282482533,24.0,0.17722514410394322,0.01441029458683399
272,SHLD2,0.0002696326255476913,24.0,0.17766281515749038,0.014463469105604594
273,SLAIN2,0.0006611388116029861,24.0,0.17810048621103758,0.0145166436243752
274,RHOBTB2,0.00037687850379233996,24.0,0.17853815726458477,0.014569818143145804
275,HNRNPR,0.000552422603291518,24.0,0.17897582831813197,0.01462299266191641
276,DNAH5,5.684334684152312e-05,24.0,0.17941349937167916,0.014676167180687014
277,TMEM14B,0.0012706480304955528,24.0,0.17985117042522636,0.01472934169945762
278,ADAMTS20,0.00016614515548417466,24.0,0.18028884147877355,0.014782516218228224
279,METTL17,0.0004602285801948301,24.0,0.18072651253232075,0.01483569073699883
280,POTEC,0.0007003209804493727,24.0,0.18116418358586794,0.014888865255769435
281,CES3,0.00028680002868000285,24.0,0.18160185463941514,0.01494203977454004
282,ZFYVE9,0.00015086084972373606,24.0,0.18203952569296233,0.014995214293310646
283,LOC150051,0.0010863661053775121,24.0,0.18247719674650953,0.01504838881208125
284,NCOR1,9.973943073719907e-05,24.0,0.1829148678000567,0.015101563330851856
285,TRIM33,0.00019033268567350014,24.0,0.1833525388536039,0.01515473784962246
286,TRIM49B,0.0005705591479650057,24.0,0.1837902099071511,0.015207912368393067
287,MYL2,0.0011442193087008343,24.0,0.18422788096069828,0.01526108688716367
288,MDN1,3.8562453121139366e-05,23.896920824451342,0.18466367223210542,0.015314261405934277
289,WNK1,7.839490221359934e-05,23.810256490118825,0.1850978830672412,0.01536743592470488
290,C5AR1,0.0005444078964410746,23.793891521853606,0.1855317954660061,0.015420610443475487
291,DNHD1,4.248141830869336e-05,23.745116207899077,0.18596481838381074,0.015473784962246091
292,SPEN,7.498123417870481e-05,23.62868636426689,0.18639571805276844,0.015526959481016697
293,ZNF48,0.0001812496903875231,23.49956610781353,0.18682426304678132,0.015580133999787303
294,LCOR,0.00010209643583635792,23.482588628105667,0.18725249843448458,0.015633308518557907
295,FNBP4,0.00019748966808204362,23.383961638922457,0.18767893523142684,0.015686483037328513
296,SLC6A7,0.0002796668854721625,23.290658222121692,0.18810367051983867,0.01573965755609912
297,UPF2,0.00016236547363971396,23.21793799953182,0.18852707966089904,0.01579283207486972
298,CUL9,6.874995583726498e-05,23.095516414191614,0.18894825628594972,0.015846006593640327
299,ADGRV1,4.021397298941406e-05,23.034603942309367,0.18936832209326107,0.015899181112410933
300,AKAP10,0.00031347107888567843,23.0,0.18978775685291047,0.01595235563118154
301,CDC25A,0.00024177441395984442,23.0,0.19020719161255986,0.01600553014995214
302,GPRASP1,7.558305756471388e-05,23.0,0.19062662637220926,0.016058704668722747
303,AFAP1L1,0.00022840345981588696,23.0,0.19104606113185865,0.016111879187493353
304,PI4KA,6.630879139254228e-05,23.0,0.19146549589150805,0.01616505370626396
305,ZNF101,0.00045674795456350785,23.0,0.19188493065115744,0.016218228225034565
306,VSIG10,0.000279876854184159,23.0,0.19230436541080684,0.016271402743805168
307,DNAJB8,0.0007044841950502328,23.0,0.19272380017045623,0.016324577262575773
308,TMEM254,0.0008450911228689007,23.0,0.1931432349301056,0.01637775178134638
309,TFAP4,0.0004653515427415276,23.0,0.193562669689755,0.016430926300116985
310,PBXIP1,0.00015498861170635723,23.0,0.1939821044494044,0.016484100818887588
311,ERAP1,0.00024142638927748358,22.98596509671993,0.19440128326443273,0.016537275337658194
312,CRYBG3,5.497724730704794e-05,22.763988974450886,0.1948164140576571,0.0165904498564288
313,WDR87,6.319578061925601e-05,22.619349778147207,0.19522890716798855,0.016643624375199405
314,DOCK7,7.562702957715336e-05,22.545022533186035,0.19564004482483624,0.016696798893970008
315,CUX1,0.00010138214309962435,22.51920438957476,0.19605071165442914,0.016749973412740614
316,CSMD3,8.857806540140324e-05,22.461625824487836,0.1964603284643869,0.01680314793151122
317,EPB41,0.00014975183284885634,22.42189267696071,0.1968692206889889,0.016856322450281826
318,KCNB2,0.00022635575672896852,22.224513618677044,0.19727451345107475,0.01690949696905243
319,WBP4,0.0006015014113927128,22.12382341243537,0.19767796999696693,0.016962671487823034
320,MZT2B,0.0009251471825063078,22.0,0.19807916846271853,0.01701584600659364
321,PPP1R13B,0.00018678258507097737,22.0,0.19848036692847013,0.017069020525364246
322,ETFDH,0.00038913947112408244,22.0,0.19888156539422172,0.017122195044134852
